type,name,gender,age,detail_url,photo_url,local_image,extra_images
cat,Mochi 麻糬,母,1.5歲,https://hkscda.com/animals/cat/2e311c6f-18b4-4bc9-b898-6d0656dc4958,,,
cat,Pebble 石仔,公,4個月,https://hkscda.com/animals/cat/d539ac71-b9c3-48b3-9fe3-26436971d045,,,
cat,Soba 蕎麥,母,4個月,https://hkscda.com/animals/cat/62d1d0f8-cd4b-4c75-ad99-3464726c2942,,,
cat,Latte 拿鐵,母,2歲,https://hkscda.com/animals/cat/8d26a444-8dd4-4f52-8e7a-90876764826c,,,
cat,Toffee 拖肥,公,3歲,https://hkscda.com/animals/cat/75788589-44ba-489a-b102-be95a32a5052,,,
cat,Kichi 小吉,母,1歲,https://hkscda.com/animals/cat/fd7af08e-582f-4146-9302-4768ec897216,,,
cat,Bobo 波波,公,5歲,https://hkscda.com/animals/cat/7fcb353b-b5e6-421f-b161-7bef5c155fce,,,
cat,Sesame 芝麻,公,8個月,https://hkscda.com/animals/cat/bcc5d78e-00d7-41e3-91ec-ecb1bdda0220,,,
cat,Mimi 咪咪,母,7歲,https://hkscda.com/animals/cat/aad51a71-7a3d-48ee-9015-3f71ce147da2,,,
cat,Dumpling 餃餃,母,2.5歲,https://hkscda.com/animals/cat/8febda13-215c-41b8-ae84-fb2482c3d4c6,,,
cat,Tiger 虎虎,公,4歲,https://hkscda.com/animals/cat/8c2e0aab-d835-40a2-9b0e-ed5b44354351,,,
cat,Snow 雪雪,母,1.5歲,https://hkscda.com/animals/cat/8e7b5ef5-2d78-4f37-b405-471f53ef8ad1,,,
cat,Oreo,公,1歲,https://hkscda.com/animals/cat/f338ea6b-6a45-49dc-a66a-cb03ef6a56a1,,,
cat,Ginger 薑薑,公,3歲,https://hkscda.com/animals/cat/070b155d-e998-4d29-a03c-92d529bb6132,,,
cat,Luna 小黑,母,2歲,https://hkscda.com/animals/cat/05e09ce1-5f57-480c-a5a0-50f55e815cf0,,,
cat,Peanut 花生,公,6個月,https://hkscda.com/animals/cat/c2cf207e-8ff5-45bb-a24c-339069fff1e7,,,
dog,Brownie 布朗尼,公,3歲,https://hkscda.com/animals/dog/4dffc6cd-1843-4a49-9322-09e5f6e9db88,,,
dog,Coco 可可,母,8歲,https://hkscda.com/animals/dog/2bb76bf0-fbaa-40c1-8654-b566d920e334,,,
dog,Lucky 大旺,公,2歲,https://hkscda.com/animals/dog/867dd68a-f742-40e9-a11c-d6a07cb8f7d4,,,
dog,Bagel,母,6歲,https://hkscda.com/animals/dog/186ae23c-a2aa-4224-bc14-bd576d7669a9,,,
dog,Milo 米路,公,4歲,https://hkscda.com/animals/dog/40687562-1547-435e-a708-0d81b4f3dbc8,,,
dog,Daisy 黛西,母,1.5歲,https://hkscda.com/animals/dog/59092c2b-8aa9-46a3-9142-1fbd48884475,,,
dog,Rocky 石頭,公,5歲,https://hkscda.com/animals/dog/08a1f36c-48c0-4829-91d7-4cc6e648811d,,,
dog,Angel 天使,母,7個月,https://hkscda.com/animals/dog/ecd13190-2cda-4ccc-a440-61f7d1ce70d0,,,
dog,Buddy 巴迪,公,3.5歲,https://hkscda.com/animals/dog/d65ecbbf-d0a2-4bb4-8848-1c38407496bf,,,
dog,Lola 露娜,母,2歲,https://hkscda.com/animals/dog/cd752feb-3532-46fd-8d07-696db632c157,,,
dog,Jack 阿積,公,1歲,https://hkscda.com/animals/dog/437f1dcf-7cdc-4168-ba16-af746158b419,,,
dog,Molly 毛毛,母,9歲,https://hkscda.com/animals/dog/004a641b-04d2-4ce3-aebc-f8154a408b93,,,
